Nivel;Clasificacion;Capitulo_Nombre;Subcapitulo_Nombre;Actividad_Nombre;WBS;KPI;Valor
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.2 Diseno Civil;Diseno Civil - Vias Internas;1.2.4;BAC;8410,48
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.2 Diseno Civil;Diseno Civil - Drenajes;1.2.5;BAC;6301,03
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.2 Diseno Civil;Diseno Civil - Malla a Tierra;1.2.6;BAC;6953,44
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.2 Diseno Civil;Diseno Civil - SSAA;1.2.7;BAC;18684,66
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.2 Diseno Civil;Diseno Civil - Comunicaciones;1.2.8;BAC;14903,54
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.2 Diseno Civil;Diseno Civil - Cerramiento;1.2.9;BAC;5687,77
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.2 Diseno Civil;Diseno Civil - Iluminacion;1.2.10;BAC;18250,45
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.3 Diseno Electromecanico;Diseno Electromecanico - Porticos 115kV;1.3.1;BAC;11234,22
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.3 Diseno Electromecanico;Diseno Electromecanico - Caseta de Control;1.3.2;BAC;8697,09
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.3 Diseno Electromecanico;Diseno Electromecanico - Trafo de Potencia;1.3.3;BAC;24391,69
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.3 Diseno Electromecanico;Diseno Electromecanico - Vias Internas;1.3.4;BAC;23437,48
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.3 Diseno Electromecanico;Diseno Electromecanico - Drenajes;1.3.5;BAC;6769,85
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.3 Diseno Electromecanico;Diseno Electromecanico - Malla a Tierra;1.3.6;BAC;10426,98
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.3 Diseno Electromecanico;Diseno Electromecanico - SSAA;1.3.7;BAC;21574,75
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.3 Diseno Electromecanico;Diseno Electromecanico - Comunicaciones;1.3.8;BAC;15853,92
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.3 Diseno Electromecanico;Diseno Electromecanico - Cerramiento;1.3.9;BAC;7818,48
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.3 Diseno Electromecanico;Diseno Electromecanico - Iluminacion;1.3.10;BAC;19580,14
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.4 Estudios Especiales;Estudios Especiales - Porticos 115kV;1.4.1;BAC;20425,41
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.4 Estudios Especiales;Estudios Especiales - Caseta de Control;1.4.2;BAC;7317,38
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.4 Estudios Especiales;Estudios Especiales - Trafo de Potencia;1.4.3;BAC;22262,07
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.4 Estudios Especiales;Estudios Especiales - Vias Internas;1.4.4;BAC;6271,17
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.4 Estudios Especiales;Estudios Especiales - Drenajes;1.4.5;BAC;11219,65
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.4 Estudios Especiales;Estudios Especiales - Malla a Tierra;1.4.6;BAC;17751,15
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.4 Estudios Especiales;Estudios Especiales - SSAA;1.4.7;BAC;22744,25
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.4 Estudios Especiales;Estudios Especiales - Comunicaciones;1.4.8;BAC;19264,9
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.4 Estudios Especiales;Estudios Especiales - Cerramiento;1.4.9;BAC;20215,7
Actividad;1. Valores Base (Métricas Acumuladas);1. Ingenieria de Detalle;1.4 Estudios Especiales;Estudios Especiales - Iluminacion;1.4.10;BAC;14875,91
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.1 Licencias Ambientales;Licencias Ambientales - Fase 1;2.1.1;BAC;15454,66
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.1 Licencias Ambientales;Licencias Ambientales - Fase 2;2.1.2;BAC;7157,83
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.1 Licencias Ambientales;Licencias Ambientales - Fase 3;2.1.3;BAC;5628,58
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.1 Licencias Ambientales;Licencias Ambientales - Lote Principal;2.1.4;BAC;15171,41
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.1 Licencias Ambientales;Licencias Ambientales - Zonas de Acceso;2.1.5;BAC;23151,33
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.1 Licencias Ambientales;Licencias Ambientales - Torres de Linea;2.1.6;BAC;20111,02
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.1 Licencias Ambientales;Licencias Ambientales - Campamento;2.1.7;BAC;9575,96
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.1 Licencias Ambientales;Licencias Ambientales - Bodegas;2.1.8;BAC;8224,43
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.1 Licencias Ambientales;Licencias Ambientales - Maquinaria;2.1.9;BAC;23593,95
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.1 Licencias Ambientales;Licencias Ambientales - Personal;2.1.10;BAC;22429,21
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.2 Permisos Municipales;Permisos Municipales - Fase 1;2.2.1;BAC;21073,44
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.2 Permisos Municipales;Permisos Municipales - Fase 2;2.2.2;BAC;22921,83
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.2 Permisos Municipales;Permisos Municipales - Fase 3;2.2.3;BAC;11360,07
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.2 Permisos Municipales;Permisos Municipales - Lote Principal;2.2.4;BAC;13542,16
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.2 Permisos Municipales;Permisos Municipales - Zonas de Acceso;2.2.5;BAC;21360,3
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.2 Permisos Municipales;Permisos Municipales - Torres de Linea;2.2.6;BAC;9442,16
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.2 Permisos Municipales;Permisos Municipales - Campamento;2.2.7;BAC;7397,31
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.2 Permisos Municipales;Permisos Municipales - Bodegas;2.2.8;BAC;11464,06
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.2 Permisos Municipales;Permisos Municipales - Maquinaria;2.2.9;BAC;15375,81
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.2 Permisos Municipales;Permisos Municipales - Personal;2.2.10;BAC;24435,64
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.3 Gestion Predial;Gestion Predial - Fase 1;2.3.1;BAC;24248,95
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.3 Gestion Predial;Gestion Predial - Fase 2;2.3.2;BAC;11017,57
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.3 Gestion Predial;Gestion Predial - Fase 3;2.3.3;BAC;10696,81
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.3 Gestion Predial;Gestion Predial - Lote Principal;2.3.4;BAC;15053,58
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.3 Gestion Predial;Gestion Predial - Zonas de Acceso;2.3.5;BAC;6029,58
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.3 Gestion Predial;Gestion Predial - Torres de Linea;2.3.6;BAC;9791,24
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.3 Gestion Predial;Gestion Predial - Campamento;2.3.7;BAC;7897,9
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.3 Gestion Predial;Gestion Predial - Bodegas;2.3.8;BAC;9841,11
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.3 Gestion Predial;Gestion Predial - Maquinaria;2.3.9;BAC;18442,71
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.3 Gestion Predial;Gestion Predial - Personal;2.3.10;BAC;19564,33
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.4 Polizas y Seguros;Polizas y Seguros - Fase 1;2.4.1;BAC;12355,66
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.4 Polizas y Seguros;Polizas y Seguros - Fase 2;2.4.2;BAC;15715,49
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.4 Polizas y Seguros;Polizas y Seguros - Fase 3;2.4.3;BAC;6805,8
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.4 Polizas y Seguros;Polizas y Seguros - Lote Principal;2.4.4;BAC;8730,37
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.4 Polizas y Seguros;Polizas y Seguros - Zonas de Acceso;2.4.5;BAC;5815,5
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.4 Polizas y Seguros;Polizas y Seguros - Torres de Linea;2.4.6;BAC;5331,76
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.4 Polizas y Seguros;Polizas y Seguros - Campamento;2.4.7;BAC;15241,86
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.4 Polizas y Seguros;Polizas y Seguros - Bodegas;2.4.8;BAC;8487,33
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.4 Polizas y Seguros;Polizas y Seguros - Maquinaria;2.4.9;BAC;18818,75
Actividad;1. Valores Base (Métricas Acumuladas);2. Gestion Administrativa;2.4 Polizas y Seguros;Polizas y Seguros - Personal;2.4.10;BAC;7750,42
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.1 Movimiento de Tierras;Movimiento de Tierras - Bases de Trafo;3.1.1;BAC;11821,33
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.1 Movimiento de Tierras;Movimiento de Tierras - Porticos Llegada;3.1.2;BAC;18199,68
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.1 Movimiento de Tierras;Movimiento de Tierras - Porticos Salida;3.1.3;BAC;21344,44
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.1 Movimiento de Tierras;Movimiento de Tierras - Carcamos MT;3.1.4;BAC;9837,05
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.1 Movimiento de Tierras;Movimiento de Tierras - Carcamos BT;3.1.5;BAC;6862,06
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.1 Movimiento de Tierras;Movimiento de Tierras - Muros Cortafuego;3.1.6;BAC;11984,19
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.1 Movimiento de Tierras;Movimiento de Tierras - Placa Caseta;3.1.7;BAC;19519,11
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.1 Movimiento de Tierras;Movimiento de Tierras - Vias Perimetrales;3.1.8;BAC;6682,8
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.1 Movimiento de Tierras;Movimiento de Tierras - Drenajes Lluvias;3.1.9;BAC;8232,57
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.1 Movimiento de Tierras;Movimiento de Tierras - Bases Equipos;3.1.10;BAC;5183,94
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.2 Cimentaciones Mayores;Cimentaciones Mayores - Bases de Trafo;3.2.1;BAC;7029,43
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.2 Cimentaciones Mayores;Cimentaciones Mayores - Porticos Llegada;3.2.2;BAC;18837,9
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.2 Cimentaciones Mayores;Cimentaciones Mayores - Porticos Salida;3.2.3;BAC;18039,23
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.2 Cimentaciones Mayores;Cimentaciones Mayores - Carcamos MT;3.2.4;BAC;9744,98
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.2 Cimentaciones Mayores;Cimentaciones Mayores - Carcamos BT;3.2.5;BAC;11507,99
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.2 Cimentaciones Mayores;Cimentaciones Mayores - Muros Cortafuego;3.2.6;BAC;21984,47
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.2 Cimentaciones Mayores;Cimentaciones Mayores - Placa Caseta;3.2.7;BAC;18152,26
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.2 Cimentaciones Mayores;Cimentaciones Mayores - Vias Perimetrales;3.2.8;BAC;12354,32
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.2 Cimentaciones Mayores;Cimentaciones Mayores - Drenajes Lluvias;3.2.9;BAC;10304,05
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.2 Cimentaciones Mayores;Cimentaciones Mayores - Bases Equipos;3.2.10;BAC;17622,77
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.3 Cimentaciones Menores;Cimentaciones Menores - Bases de Trafo;3.3.1;BAC;20896,23
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.3 Cimentaciones Menores;Cimentaciones Menores - Porticos Llegada;3.3.2;BAC;14850,35
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.3 Cimentaciones Menores;Cimentaciones Menores - Porticos Salida;3.3.3;BAC;8904,86
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.3 Cimentaciones Menores;Cimentaciones Menores - Carcamos MT;3.3.4;BAC;5486,32
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.3 Cimentaciones Menores;Cimentaciones Menores - Carcamos BT;3.3.5;BAC;17909,45
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.3 Cimentaciones Menores;Cimentaciones Menores - Muros Cortafuego;3.3.6;BAC;24333,1
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.3 Cimentaciones Menores;Cimentaciones Menores - Placa Caseta;3.3.7;BAC;24272,4
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.3 Cimentaciones Menores;Cimentaciones Menores - Vias Perimetrales;3.3.8;BAC;12701,95
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.3 Cimentaciones Menores;Cimentaciones Menores - Drenajes Lluvias;3.3.9;BAC;22022,73
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.3 Cimentaciones Menores;Cimentaciones Menores - Bases Equipos;3.3.10;BAC;16136,03
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.4 Estructuras de Concreto;Estructuras de Concreto - Bases de Trafo;3.4.1;BAC;23723,1
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.4 Estructuras de Concreto;Estructuras de Concreto - Porticos Llegada;3.4.2;BAC;6943,53
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.4 Estructuras de Concreto;Estructuras de Concreto - Porticos Salida;3.4.3;BAC;17300,14
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.4 Estructuras de Concreto;Estructuras de Concreto - Carcamos MT;3.4.4;BAC;19815,37
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.4 Estructuras de Concreto;Estructuras de Concreto - Carcamos BT;3.4.5;BAC;18940,31
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.4 Estructuras de Concreto;Estructuras de Concreto - Muros Cortafuego;3.4.6;BAC;10871,84
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.4 Estructuras de Concreto;Estructuras de Concreto - Placa Caseta;3.4.7;BAC;21187,22
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.4 Estructuras de Concreto;Estructuras de Concreto - Vias Perimetrales;3.4.8;BAC;23264,81
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.4 Estructuras de Concreto;Estructuras de Concreto - Drenajes Lluvias;3.4.9;BAC;15226,85
Actividad;1. Valores Base (Métricas Acumuladas);3. Obras Civiles;3.4 Estructuras de Concreto;Estructuras de Concreto - Bases Equipos;3.4.10;BAC;17999,28
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.1 Suministro Transformador;Suministro Transformador - Unidad Principal;4.1.1;BAC;19039,34
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.1 Suministro Transformador;Suministro Transformador - Reserva;4.1.2;BAC;11759,9
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.1 Suministro Transformador;Suministro Transformador - Interruptor 115kV;4.1.3;BAC;12511,66
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.1 Suministro Transformador;Suministro Transformador - Seccionador 115kV;4.1.4;BAC;5718,85
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.1 Suministro Transformador;Suministro Transformador - CTs 115kV;4.1.5;BAC;14311,96
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.1 Suministro Transformador;Suministro Transformador - PTs 115kV;4.1.6;BAC;16816,67
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.1 Suministro Transformador;Suministro Transformador - Pararrayos;4.1.7;BAC;5610,0
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.1 Suministro Transformador;Suministro Transformador - Celdas 13.8kV;4.1.8;BAC;15444,87
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.1 Suministro Transformador;Suministro Transformador - Banco Condensadores;4.1.9;BAC;20399,87
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.1 Suministro Transformador;Suministro Transformador - Aisladores Soporte;4.1.10;BAC;6706,95
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.2 Suministro Maniobra;Suministro Maniobra - Unidad Principal;4.2.1;BAC;6033,63
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.2 Suministro Maniobra;Suministro Maniobra - Reserva;4.2.2;BAC;17748,6
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.2 Suministro Maniobra;Suministro Maniobra - Interruptor 115kV;4.2.3;BAC;19521,83
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.2 Suministro Maniobra;Suministro Maniobra - Seccionador 115kV;4.2.4;BAC;11459,13
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.2 Suministro Maniobra;Suministro Maniobra - CTs 115kV;4.2.5;BAC;20903,72
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.2 Suministro Maniobra;Suministro Maniobra - PTs 115kV;4.2.6;BAC;6569,13
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.2 Suministro Maniobra;Suministro Maniobra - Pararrayos;4.2.7;BAC;5507,01
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.2 Suministro Maniobra;Suministro Maniobra - Celdas 13.8kV;4.2.8;BAC;8465,89
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.2 Suministro Maniobra;Suministro Maniobra - Banco Condensadores;4.2.9;BAC;8128,74
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.2 Suministro Maniobra;Suministro Maniobra - Aisladores Soporte;4.2.10;BAC;19291,92
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.3 Suministro Medida;Suministro Medida - Unidad Principal;4.3.1;BAC;18203,95
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.3 Suministro Medida;Suministro Medida - Reserva;4.3.2;BAC;17234,41
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.3 Suministro Medida;Suministro Medida - Interruptor 115kV;4.3.3;BAC;13392,0
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.3 Suministro Medida;Suministro Medida - Seccionador 115kV;4.3.4;BAC;20156,92
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.3 Suministro Medida;Suministro Medida - CTs 115kV;4.3.5;BAC;5287,87
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.3 Suministro Medida;Suministro Medida - PTs 115kV;4.3.6;BAC;6956,68
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.3 Suministro Medida;Suministro Medida - Pararrayos;4.3.7;BAC;14832,32
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.3 Suministro Medida;Suministro Medida - Celdas 13.8kV;4.3.8;BAC;13677,03
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.3 Suministro Medida;Suministro Medida - Banco Condensadores;4.3.9;BAC;12970,09
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.3 Suministro Medida;Suministro Medida - Aisladores Soporte;4.3.10;BAC;5906,08
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.4 Suministro Proteccion;Suministro Proteccion - Unidad Principal;4.4.1;BAC;12492,25
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.4 Suministro Proteccion;Suministro Proteccion - Reserva;4.4.2;BAC;22129,8
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.4 Suministro Proteccion;Suministro Proteccion - Interruptor 115kV;4.4.3;BAC;18173,87
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.4 Suministro Proteccion;Suministro Proteccion - Seccionador 115kV;4.4.4;BAC;16715,51
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.4 Suministro Proteccion;Suministro Proteccion - CTs 115kV;4.4.5;BAC;23804,6
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.4 Suministro Proteccion;Suministro Proteccion - PTs 115kV;4.4.6;BAC;17865,76
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.4 Suministro Proteccion;Suministro Proteccion - Pararrayos;4.4.7;BAC;14165,06
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.4 Suministro Proteccion;Suministro Proteccion - Celdas 13.8kV;4.4.8;BAC;12722,05
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.4 Suministro Proteccion;Suministro Proteccion - Banco Condensadores;4.4.9;BAC;24223,81
Actividad;1. Valores Base (Métricas Acumuladas);4. Equipos Primarios;4.4 Suministro Proteccion;Suministro Proteccion - Aisladores Soporte;4.4.10;BAC;11379,51
Actividad;1. Valores Base (Métricas Acumuladas);5. Montaje Electromecanico;5.1 Estructuras Metalicas;Estructuras Metalicas - Porticos 115kV;5.1.1;BAC;21897,51
Actividad;1. Valores Base (Métricas Acumuladas);5. Montaje Electromecanico;5.1 Estructuras Metalicas;Estructuras Metalicas - Soportes Equipos;5.1.2;BAC;5465,44
Actividad;1. Valores Base (Métricas Acumuladas);5. Montaje Electromecanico;5.1 Estructuras Metalicas;Estructuras Metalicas - Trafo Principal;5.1.3;BAC;21289,37
Actividad;1. Valores Base (Métricas Acumuladas);5. Montaje Electromecanico;5.1 Estructuras Metalicas;Estructuras Metalicas - Interruptores;5.1.4;BAC;10637,1
Actividad;1. Valores Base (Métricas Acumuladas);5. Montaje Electromecanico;5.1 Estructuras Metalicas;Estructuras Metalicas - Seccionadores;5.1.5;BAC;7363,3
Actividad;1. Valores Base (Métricas Acumuladas);5. Montaje Electromecanico;5.1 Estructuras Metalicas;Estructuras Metalicas - CTs y PTs;5.1.6;BAC;18934,74
Actividad;1. Valores Base (Métricas Acumuladas);5. Montaje Electromecanico;5.1 Estructuras Metalicas;Estructuras Metalicas - Tuberia Aluminio;5.1.7;BAC;17578,86
Actividad;1. Valores Base (Métricas Acumuladas);5. Montaje Electromecanico;5.1 Estructuras Metalicas;Estructuras Metalicas - Cable ACSR;5.1.8;BAC;22549,44
