Fecha;Semana;WBS;Capitulo;Subcapitulo;Actividad;PV;EV;AC;Comentarios_Obra;Comentarios_Admin
2025-09-14;11;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;4597,45;4403,26;4493,13;Memoria de calculo civil aprobada para construccion.;Sin alertas contractuales en la fase de ingenieria.
2025-09-21;12;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;5154,52;4936,81;5037,56;Planos electromecanicos sin observaciones mayores.;Actas de avance de consultoria liquidadas.
2025-09-28;13;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;5721,82;5480,14;5591,98;Planos electromecanicos sin observaciones mayores.;Sin alertas contractuales en la fase de ingenieria.
2025-10-05;14;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;6298,67;6032,63;6155,74;Reuniones de coordinacion interdisciplinaria efectivas.;Actas de avance de consultoria liquidadas.
2025-10-12;15;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;6884,47;6593,69;6728,25;Memoria de calculo civil aprobada para construccion.;Sin alertas contractuales en la fase de ingenieria.
2025-10-19;16;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;7478,7;7162,82;7309,0;Planos electromecanicos sin observaciones mayores.;Cierre de hitos de diseno conforme al flujo de caja.
2025-10-26;17;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;8080,92;7739,6;7897,55;Reuniones de coordinacion interdisciplinaria efectivas.;Actas de avance de consultoria liquidadas.
2025-11-02;18;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;8690,72;8323,64;8493,52;Memoria de calculo civil aprobada para construccion.;Cierre de hitos de diseno conforme al flujo de caja.
2025-11-09;19;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;9307,73;8914,59;9096,52;Levantamiento topografico entregado y firmado.;Actas de avance de consultoria liquidadas.
2025-11-16;20;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;9931,64;9512,15;9706,28;Planos electromecanicos sin observaciones mayores.;Actas de avance de consultoria liquidadas.
2025-11-23;21;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;10562,16;;;-;-
2025-11-30;22;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;11199,02;;;-;-
2025-12-07;23;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;11841,97;;;-;-
2025-12-14;24;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2025-12-21;25;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2025-12-28;26;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-01-04;27;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-01-11;28;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-01-18;29;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-01-25;30;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-02-01;31;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-02-08;32;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-02-15;33;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-02-22;34;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-03-01;35;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-03-08;36;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-03-15;37;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-03-22;38;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-03-29;39;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-04-05;40;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-04-12;41;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-04-19;42;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-04-26;43;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-05-03;44;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-05-10;45;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-05-17;46;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-05-24;47;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-05-31;48;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-06-07;49;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-06-14;50;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-06-21;51;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-06-28;52;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-07-05;53;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-07-12;54;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-07-19;55;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-07-26;56;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-08-02;57;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-08-09;58;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-08-16;59;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2026-08-23;60;1.1.1;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Porticos 115kV;12490,8;;;-;-
2025-07-06;1;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;0,0;0,0;0,0;-;-
2025-07-13;2;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;188,57;186,0;189,8;Reuniones de coordinacion interdisciplinaria efectivas.;Cierre de hitos de diseno conforme al flujo de caja.
2025-07-20;3;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;433,22;427,32;436,04;Reuniones de coordinacion interdisciplinaria efectivas.;Actas de avance de consultoria liquidadas.
2025-07-27;4;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;704,73;695,13;709,32;Planos electromecanicos sin observaciones mayores.;Sin alertas contractuales en la fase de ingenieria.
2025-08-03;5;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;995,29;981,73;1001,77;Levantamiento topografico entregado y firmado.;Cierre de hitos de diseno conforme al flujo de caja.
2025-08-10;6;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;1300,89;1283,17;1309,36;Levantamiento topografico entregado y firmado.;Sin alertas contractuales en la fase de ingenieria.
2025-08-17;7;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;1619,04;1596,99;1629,58;Reuniones de coordinacion interdisciplinaria efectivas.;Sin alertas contractuales en la fase de ingenieria.
2025-08-24;8;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;1948,02;1921,48;1960,7;Reuniones de coordinacion interdisciplinaria efectivas.;Sin alertas contractuales en la fase de ingenieria.
2025-08-31;9;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;2286,57;2255,42;2301,45;Memoria de calculo civil aprobada para construccion.;Sin alertas contractuales en la fase de ingenieria.
2025-09-07;10;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;2633,71;2597,83;2650,85;Levantamiento topografico entregado y firmado.;Actas de avance de consultoria liquidadas.
2025-09-14;11;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;2988,66;2947,95;3008,11;Memoria de calculo civil aprobada para construccion.;Cierre de hitos de diseno conforme al flujo de caja.
2025-09-21;12;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;3350,8;3305,16;3372,61;Levantamiento topografico entregado y firmado.;Actas de avance de consultoria liquidadas.
2025-09-28;13;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;3719,58;3668,91;3743,79;Levantamiento topografico entregado y firmado.;Cierre de hitos de diseno conforme al flujo de caja.
2025-10-05;14;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;4094,57;4038,79;4121,22;Reuniones de coordinacion interdisciplinaria efectivas.;Cierre de hitos de diseno conforme al flujo de caja.
2025-10-12;15;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;4475,38;4414,42;4504,51;Reuniones de coordinacion interdisciplinaria efectivas.;Actas de avance de consultoria liquidadas.
2025-10-19;16;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;4861,68;4795,45;4893,32;Reuniones de coordinacion interdisciplinaria efectivas.;Cierre de hitos de diseno conforme al flujo de caja.
2025-10-26;17;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;5253,16;5181,6;5287,35;Memoria de calculo civil aprobada para construccion.;Sin alertas contractuales en la fase de ingenieria.
2025-11-02;18;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;5649,57;5572,61;5686,34;Reuniones de coordinacion interdisciplinaria efectivas.;Sin alertas contractuales en la fase de ingenieria.
2025-11-09;19;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;6050,67;5968,25;6090,05;Levantamiento topografico entregado y firmado.;Sin alertas contractuales en la fase de ingenieria.
2025-11-16;20;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;6456,26;6368,31;6498,28;Memoria de calculo civil aprobada para construccion.;Sin alertas contractuales en la fase de ingenieria.
2025-11-23;21;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;6866,14;;;-;-
2025-11-30;22;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;7280,14;;;-;-
2025-12-07;23;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;7698,11;;;-;-
2025-12-14;24;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2025-12-21;25;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2025-12-28;26;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-01-04;27;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-01-11;28;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-01-18;29;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-01-25;30;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-02-01;31;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-02-08;32;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-02-15;33;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-02-22;34;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-03-01;35;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-03-08;36;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-03-15;37;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-03-22;38;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-03-29;39;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-04-05;40;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-04-12;41;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-04-19;42;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-04-26;43;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-05-03;44;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-05-10;45;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-05-17;46;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-05-24;47;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-05-31;48;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-06-07;49;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-06-14;50;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-06-21;51;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-06-28;52;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-07-05;53;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-07-12;54;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-07-19;55;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-07-26;56;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-08-02;57;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-08-09;58;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-08-16;59;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2026-08-23;60;1.1.2;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Caseta de Control;8119,89;;;-;-
2025-07-06;1;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;0,0;0,0;0,0;-;-
2025-07-13;2;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;143,1;141,04;143,91;Memoria de calculo civil aprobada para construccion.;Actas de avance de consultoria liquidadas.
2025-07-20;3;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;328,75;324,01;330,62;Planos electromecanicos sin observaciones mayores.;Cierre de hitos de diseno conforme al flujo de caja.
2025-07-27;4;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;534,77;527,06;537,82;Reuniones de coordinacion interdisciplinaria efectivas.;Sin alertas contractuales en la fase de ingenieria.
2025-08-03;5;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;755,26;744,37;759,56;Memoria de calculo civil aprobada para construccion.;Sin alertas contractuales en la fase de ingenieria.
2025-08-10;6;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;987,16;972,93;992,78;Reuniones de coordinacion interdisciplinaria efectivas.;Actas de avance de consultoria liquidadas.
2025-08-17;7;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;1228,59;1210,87;1235,59;Memoria de calculo civil aprobada para construccion.;Actas de avance de consultoria liquidadas.
2025-08-24;8;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;1478,23;1456,92;1486,65;Reuniones de coordinacion interdisciplinaria efectivas.;Cierre de hitos de diseno conforme al flujo de caja.
2025-08-31;9;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;1735,13;1710,11;1745,01;Reuniones de coordinacion interdisciplinaria efectivas.;Actas de avance de consultoria liquidadas.
2025-09-07;10;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;1998,55;1969,73;2009,93;Memoria de calculo civil aprobada para construccion.;Sin alertas contractuales en la fase de ingenieria.
2025-09-14;11;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;2267,91;2235,21;2280,83;Reuniones de coordinacion interdisciplinaria efectivas.;Actas de avance de consultoria liquidadas.
2025-09-21;12;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;2542,71;2506,05;2557,19;Planos electromecanicos sin observaciones mayores.;Cierre de hitos de diseno conforme al flujo de caja.
2025-09-28;13;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;2822,56;2781,86;2838,63;Planos electromecanicos sin observaciones mayores.;Actas de avance de consultoria liquidadas.
2025-10-05;14;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;3107,11;3062,31;3124,8;Reuniones de coordinacion interdisciplinaria efectivas.;Actas de avance de consultoria liquidadas.
2025-10-12;15;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;3396,09;3347,12;3415,43;Memoria de calculo civil aprobada para construccion.;Sin alertas contractuales en la fase de ingenieria.
2025-10-19;16;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;3689,22;3636,02;3710,23;Reuniones de coordinacion interdisciplinaria efectivas.;Sin alertas contractuales en la fase de ingenieria.
2025-10-26;17;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;3986,29;3928,81;4008,99;Planos electromecanicos sin observaciones mayores.;Sin alertas contractuales en la fase de ingenieria.
2025-11-02;18;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;4287,1;4225,28;4311,51;Planos electromecanicos sin observaciones mayores.;Cierre de hitos de diseno conforme al flujo de caja.
2025-11-09;19;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;4591,47;4525,26;4617,62;Memoria de calculo civil aprobada para construccion.;Actas de avance de consultoria liquidadas.
2025-11-16;20;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;4899,25;4828,61;4927,15;Planos electromecanicos sin observaciones mayores.;Actas de avance de consultoria liquidadas.
2025-11-23;21;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;5210,28;;;-;-
2025-11-30;22;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;5524,44;;;-;-
2025-12-07;23;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;5841,61;;;-;-
2025-12-14;24;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;6161,67;;;-;-
2025-12-21;25;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;6161,67;;;-;-
2025-12-28;26;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;6161,67;;;-;-
2026-01-04;27;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;6161,67;;;-;-
2026-01-11;28;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;6161,67;;;-;-
2026-01-18;29;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;6161,67;;;-;-
2026-01-25;30;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;6161,67;;;-;-
2026-02-01;31;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;6161,67;;;-;-
2026-02-08;32;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;6161,67;;;-;-
2026-02-15;33;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;6161,67;;;-;-
2026-02-22;34;1.1.3;1. Ingenieria de Detalle;1.1 Topografia y Suelos;Topografia y Suelos - Trafo de Potencia;6161,67;;;-;-
